,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
226,Diamond Princess,712,0,13,0.0,699,0,0,0,0,0,0,0,0,Do not know,2023-02-22
227,Vatican City,29,0,0,0.0,29,0,0,0,36295,0,0,0,799,Europe,2023-02-22
228,Western Sahara,10,0,1,0.0,9,0,0,0,16,2,0,0,626161,Africa,2023-02-22
229,MS Zaandam,9,0,2,0.0,7,0,0,0,0,0,0,0,0,Do not know,2023-02-22
230,Tokelau,5,0,0,0.0,0,0,5,0,3628,0,0,0,1378,Australia/Oceania,2023-02-22
231,China,503302,0,5272,0.0,379053,0,118977,7557,347,4,160000000,110461,1448471400,Asia,2023-02-23
232,USA,105161023,12094,1144368,126.0,102534080,60816,1482575,2425,314096,3418,1163861047,3476233,334805269,North America,2023-02-23
233,India,44685619,169,530764,1.0,44152839,152,2016,0,31768,377,918101478,652695,1406631776,Asia,2023-02-23
234,France,39605037,4489,164848,19.0,39371627,3580,68562,869,603878,2514,271490188,4139547,65584518,Europe,2023-02-23
235,Germany,38090089,21177,167723,119.0,37654800,24000,267566,0,454083,1999,122332384,1458359,83883596,Europe,2023-02-23
236,Brazil,37008944,11616,698834,453.0,36179646,8834,130464,0,171852,3245,63776166,296146,215353593,South America,2023-02-23
237,Japan,33151209,15193,72051,128.0,21673156,3267,11406002,194,263975,574,94608068,753340,125584838,Asia,2023-02-23
238,S. Korea,30469702,10845,33909,22.0,30223524,14004,212269,180,593605,661,15804065,307892,51329899,Asia,2023-02-23
239,Italy,25547414,0,187850,0.0,25174036,0,185528,154,423934,3117,267156892,4433200,60262770,Europe,2023-02-23
240,UK,24341615,0,206246,0.0,24073944,2508,61425,0,355363,3011,522526476,7628357,68497907,Europe,2023-02-23
241,Russia,22218663,14721,395938,37.0,21557637,15028,265088,0,152385,2716,273400000,1875095,145805947,Europe,2023-02-23
242,Turkey,17042722,0,101492,0.0,0,0,0,0,199186,1186,162743369,1902052,85561976,Asia,2023-02-23
243,Spain,13755956,0,119186,0.0,13596016,0,40754,231,294439,2551,471036328,10082298,46719142,Europe,2023-02-23
244,Vietnam,11526870,12,43186,0.0,10614740,5,868944,4,116488,436,85826548,867342,98953541,Asia,2023-02-23
245,Australia,11363400,2961,19357,17.0,11312398,814,31645,43,435901,743,78835048,3024116,26068792,Australia/Oceania,2023-02-23
246,Argentina,10043308,0,130458,0.0,9907590,457,5260,363,218284,2835,35716069,776264,46010234,South America,2023-02-23
247,Taiwan,9985320,14387,17709,37.0,9604444,25400,363167,0,417995,741,30742304,1286903,23888595,Asia,2023-02-23
248,Netherlands,8591721,0,22992,0.0,8557213,103,11516,53,499186,1336,25984435,1509718,17211447,Europe,2023-02-23
249,Iran,7567473,52,144828,4.0,7339006,68,83639,288,87971,1684,55034937,639771,86022837,Asia,2023-02-23
250,Mexico,7439281,4215,332913,28.0,6677759,3049,428609,0,56545,2530,19519260,148365,131562772,North America,2023-02-23
251,Indonesia,6735033,215,160897,3.0,6570570,265,3566,0,24128,576,114158919,408975,279134505,Asia,2023-02-23
252,Poland,6409604,2808,118850,10.0,5335940,0,954814,696,169837,3149,38244343,1013369,37739785,Europe,2023-02-23
253,Colombia,6359464,0,142615,0.0,6182304,0,34545,342,123454,2769,36951507,717327,51512762,South America,2023-02-23
254,Austria,5884691,5763,21853,1.0,5810448,2633,52390,72,649044,2410,211273524,23302116,9066710,Europe,2023-02-23
255,Greece,5842655,0,36066,0.0,5795401,15393,11188,115,566333,3496,102228365,9909078,10316637,Europe,2023-02-23
256,Portugal,5566708,0,26117,0.0,5536772,0,3819,61,548954,2575,45968702,4533148,10140570,Europe,2023-02-23
257,Ukraine,5382095,0,111175,0.0,5261929,0,8991,0,124608,2574,32603805,754855,43192122,Europe,2023-02-23
258,Chile,5156519,2413,64128,19.0,5087134,1674,5257,83,267868,3331,48381989,2513325,19250195,South America,2023-02-23
259,Malaysia,5041811,224,36957,0.0,4995584,278,9270,9,151948,1114,68025327,2050124,33181072,Asia,2023-02-23
260,Israel,4796672,785,12268,12.0,4781252,0,3152,57,514333,1315,41373364,4436346,9326000,Asia,2023-02-23
261,DPRK,4772813,0,74,0.0,4772739,0,0,0,183636,3,0,0,25990679,Asia,2023-02-23
262,Thailand,4727831,0,33902,0.0,4692636,0,1293,0,67465,484,17270775,246450,70078203,Asia,2023-02-23
263,Belgium,4717655,1340,33717,8.0,4656734,368,27204,43,404315,2890,36709556,3146099,11668278,Europe,2023-02-23
264,Czechia,4605654,1214,42411,4.0,4552855,170,10388,40,428960,3950,56979812,5306972,10736784,Europe,2023-02-23
265,Canada,4581763,0,51061,0.0,4491319,1576,39383,99,119353,1330,66343123,1728207,38388419,North America,2023-02-23
266,Peru,4485003,100,219378,13.0,4263671,170,1954,48,133149,6513,37979583,1127519,33684208,South America,2023-02-23
267,Switzerland,4389655,0,14452,0.0,4371249,802,3954,39,500323,1647,23833472,2716487,8773637,Europe,2023-02-23
268,Philippines,4075871,209,66063,12.0,4000480,0,9328,162,36227,587,34553448,307117,112508994,Asia,2023-02-23
269,South Africa,4061085,0,102595,0.0,3912506,0,45984,192,66842,1689,26473049,435726,60756135,Africa,2023-02-23
270,Romania,3335131,0,67675,0.0,3260130,0,7326,115,175244,3556,26603809,1397895,19031335,Europe,2023-02-23
271,Denmark,3174907,86,8240,1.0,3165687,79,980,19,544119,1412,129189084,22140564,5834950,Europe,2023-02-23
272,Hong Kong,2882822,140,13445,0.0,2830561,3793,38816,28,379104,1768,76127725,10011143,7604299,Asia,2023-02-23
273,Sweden,2697827,0,23633,0.0,2669780,493,4414,9,264002,2313,19469139,1905196,10218971,Europe,2023-02-23
274,Serbia,2488870,935,17791,3.0,2456848,436,14231,23,287630,2056,12358664,1428249,8653016,Europe,2023-02-23
275,Iraq,2465545,0,25375,0.0,2439497,0,673,21,58474,602,19544451,463523,42164965,Asia,2023-02-23
276,Singapore,2222006,0,1722,0.0,2149583,0,70701,1,373852,290,24756666,4165302,5943546,Asia,2023-02-23
277,New Zealand,2207775,0,3864,0.0,2197123,0,6788,0,450732,789,7768604,1586011,4898203,Australia/Oceania,2023-02-23
278,Hungary,2194969,0,48745,0.0,2142682,0,3542,6,228494,5074,11394556,1186160,9606259,Europe,2023-02-23
279,Bangladesh,2037773,0,29445,0.0,1998448,0,9880,0,12138,175,15254399,90862,167885689,Asia,2023-02-23
280,Slovakia,1862495,100,21011,3.0,1840373,67,1111,16,341104,3848,7400823,1355414,5460193,Europe,2023-02-23
281,Georgia,1825598,0,16965,0.0,1776548,0,32085,0,459995,4275,16920079,4263340,3968738,Asia,2023-02-23
282,Jordan,1746997,0,14122,0.0,1731007,0,1868,59,169597,1371,17201885,1669945,10300869,Asia,2023-02-23
283,Ireland,1702523,0,8629,0.0,1691624,281,2270,11,339135,1719,13022483,2594017,5020199,Europe,2023-02-23
284,Pakistan,1576796,36,30641,0.0,1538689,0,7466,13,6871,134,30570862,133213,229488994,Asia,2023-02-23
285,Norway,1478817,50,5112,0.0,1473036,53,669,20,268321,928,11002430,1996315,5511370,Europe,2023-02-23
286,Finland,1462169,0,8892,0.0,1451354,85,1923,21,263219,1601,12047792,2168835,5554960,Europe,2023-02-23
287,Kazakhstan,1407351,0,13846,0.0,1383020,0,10485,24,73280,721,11575012,602707,19205043,Asia,2023-02-23
288,Slovenia,1326746,353,7068,1.0,1316201,243,3477,6,638462,3401,2834988,1364264,2078034,Europe,2023-02-23
289,Lithuania,1303386,346,9582,2.0,1288000,309,5804,8,489680,3600,10373322,3897243,2661708,Europe,2023-02-23
290,Bulgaria,1296533,83,38210,2.0,1255458,12,2865,26,189424,5583,11044361,1613588,6844597,Europe,2023-02-23
291,Morocco,1272418,7,16296,0.0,1256051,6,71,3,33686,431,12975749,343521,37772756,Africa,2023-02-23
292,Croatia,1268666,0,17950,0.0,1250175,0,541,10,312534,4422,5503682,1355825,4059286,Europe,2023-02-23
293,Guatemala,1235082,239,20163,3.0,1213683,259,1236,5,66459,1085,6900044,371289,18584039,North America,2023-02-23
294,Lebanon,1231303,0,10821,0.0,1087587,0,132895,74,184193,1619,4795578,717380,6684849,Asia,2023-02-23
295,Costa Rica,1199055,0,9214,0.0,860711,0,329130,52,231373,1778,4659757,899158,5182354,North America,2023-02-23
296,Bolivia,1192358,75,22363,1.0,1155891,213,14104,220,99424,1865,2705422,225590,11992656,South America,2023-02-23
297,Tunisia,1150793,0,29330,0.0,0,0,0,44,95528,2435,5001397,415169,12046656,Africa,2023-02-23
298,Cuba,1112567,6,8530,0.0,1103957,1,80,0,98408,754,14314851,1266168,11305652,North America,2023-02-23
299,Ecuador,1056578,0,36008,0.0,1015999,0,4571,759,58331,1988,3082403,170173,18113361,South America,2023-02-23
300,UAE,1051457,121,2348,0.0,1034731,103,14378,0,104293,233,199126406,19751106,10081785,Asia,2023-02-23
301,Uruguay,1034046,0,7617,0.0,1025995,0,434,18,295778,2179,6114822,1749083,3496016,South America,2023-02-23
302,Panama,1031014,356,8603,3.0,1021886,445,525,16,231847,1935,7522110,1691516,4446964,North America,2023-02-23
303,Mongolia,1007896,0,2179,0.0,1005705,0,12,192,298364,645,4030048,1193000,3378078,Asia,2023-02-23
304,Nepal,1001138,1,12020,0.0,989107,2,11,0,33122,398,6010863,198867,30225582,Asia,2023-02-23
305,Belarus,994037,0,7118,0.0,985592,0,1327,0,105381,755,13646641,1446722,9432800,Europe,2023-02-23
306,Latvia,975903,19,6235,0.0,969311,32,357,13,527847,3372,7863709,4253327,1848837,Europe,2023-02-23
307,Saudi Arabia,829137,42,9608,1.0,816487,55,3042,41,23131,268,45127377,1258962,35844909,Asia,2023-02-23
308,Azerbaijan,828449,23,10111,3.0,818183,16,155,0,80430,982,7518721,729958,10300205,Asia,2023-02-23
309,Paraguay,807453,0,19849,0.0,0,0,0,7,110522,2717,2657506,363751,7305843,South America,2023-02-23
310,Bahrain,705830,386,1548,0.0,701947,250,2335,1,395648,868,10730009,6014636,1783983,Asia,2023-02-23
311,Sri Lanka,672025,1,16830,1.0,655193,1,2,0,31147,780,6486117,300619,21575842,Asia,2023-02-23
312,Kuwait,662858,0,2570,0.0,660237,0,51,0,151326,587,8455743,1930391,4380326,Asia,2023-02-23
313,Dominican Republic,660533,0,4384,0.0,644785,0,11364,4,59742,397,3740928,338350,11056370,North America,2023-02-23
314,Cyprus,647031,0,1297,0.0,641366,0,4368,60,528885,1060,9640118,7879860,1223387,Asia,2023-02-23
315,Myanmar,633905,2,19490,0.0,614375,1,40,0,11478,353,10031624,181643,55227143,Asia,2023-02-23
316,Palestine,621008,0,5404,0.0,615445,0,159,17,116173,1011,3078533,575907,5345541,Asia,2023-02-23
317,Estonia,614848,0,2934,0.0,524990,0,86924,1,465121,2220,3671717,2777585,1321910,Europe,2023-02-23
318,Moldova,603750,0,11974,0.0,504142,0,87634,49,150442,2984,3216305,801437,4013171,Europe,2023-02-23
319,Venezuela,551954,4,5852,0.0,545768,81,334,36,18859,200,3359014,114771,29266991,South America,2023-02-23
320,Egypt,515698,0,24613,0.0,442182,0,48903,122,4858,232,3693367,34792,106156692,Africa,2023-02-23
321,Libya,507171,0,6437,0.0,500733,0,1,0,72034,914,2483538,352738,7040745,Africa,2023-02-23
322,Ethiopia,499903,0,7572,0.0,487185,0,5146,0,4138,63,5483106,45385,120812698,Africa,2023-02-23
323,Qatar,493724,85,686,0.0,492695,57,343,21,165684,230,4065369,1364257,2979915,Asia,2023-02-23
324,Réunion,486588,0,921,0.0,418572,0,67095,10,535854,1014,1603660,1766027,908061,Africa,2023-02-23
325,Honduras,471557,0,11109,0.0,0,0,0,105,46135,1087,1626616,159141,10221247,North America,2023-02-23
326,Armenia,446819,0,8721,0.0,435162,0,2936,0,150345,2934,3242901,1091164,2971966,Asia,2023-02-23
327,Bosnia and Herzegovina,401575,0,16278,0.0,379084,0,6213,0,123588,5010,1884721,580036,3249317,Europe,2023-02-23
328,Oman,399449,0,4628,0.0,384669,0,10152,2,75028,869,25000000,4695724,5323993,Asia,2023-02-23
329,North Macedonia,346852,119,9662,9.0,337068,94,122,0,166651,4642,2226216,1069626,2081304,Europe,2023-02-23
330,Kenya,342900,0,5688,0.0,337183,0,29,1,6100,101,3967062,70569,56215221,Africa,2023-02-23
331,Zambia,342831,0,4055,0.0,338289,0,487,0,17608,208,3923997,201538,19470234,Africa,2023-02-23
332,Albania,334345,9,3596,0.0,329101,22,1648,0,116644,1255,1941032,677173,2866374,Europe,2023-02-23
333,Botswana,329662,0,2801,0.0,326868,0,-7,1,135043,1147,2026898,830300,2441162,Africa,2023-02-23
334,Luxembourg,297757,0,1133,0.0,288991,0,7633,0,463528,1764,4412567,6869188,642371,Europe,2023-02-23
335,Montenegro,287891,119,2800,0.0,284287,81,804,6,458462,4459,2713150,4320647,627950,Europe,2023-02-23
336,Brunei,277992,0,225,0.0,243601,0,34166,0,624097,505,717784,1611437,445431,Asia,2023-02-23
337,Algeria,271432,1,6881,0.0,182788,0,81763,0,5985,152,230861,5091,45350148,Africa,2023-02-23
338,Nigeria,266463,0,3155,0.0,259850,0,3458,11,1229,15,5708974,26339,216746934,Africa,2023-02-23
339,Zimbabwe,263921,0,5663,0.0,257205,0,1053,12,17214,369,2525756,164744,15331428,Africa,2023-02-23
340,Uzbekistan,250932,0,1637,0.0,241486,0,7809,23,7298,48,1377915,40077,34382084,Asia,2023-02-23
341,Mozambique,233098,0,2242,0.0,228805,0,2051,11,7044,68,1371127,41437,33089461,Africa,2023-02-23
342,Martinique,229807,0,1098,0.0,0,0,0,12,614314,2935,828928,2215870,374087,North America,2023-02-23
343,Laos,218014,2,758,0.0,0,0,0,0,29142,101,1233207,164845,7481023,Asia,2023-02-23
344,Afghanistan,209219,24,7896,0.0,190554,10,10769,45,5134,194,1198378,29405,40754388,Asia,2023-02-23
345,Iceland,208999,0,229,0.0,0,0,0,2,605105,663,1996384,5780036,345393,Europe,2023-02-23
346,Kyrgyzstan,206633,0,2991,0.0,196406,0,7236,131,30711,445,1907195,283460,6728271,Asia,2023-02-23
347,Guadeloupe,201852,0,1010,0.0,0,0,0,19,504890,2526,938039,2346306,399794,North America,2023-02-23
348,El Salvador,201785,0,4230,0.0,179410,0,18145,8,30805,646,2610114,398467,6550389,North America,2023-02-23
349,Trinidad and Tobago,188737,0,4339,0.0,184363,0,35,8,134181,3085,895520,636663,1406585,North America,2023-02-23
350,Maldives,185729,0,311,0.0,163687,0,21731,25,343316,575,2213831,4092223,540985,Asia,2023-02-23
351,Ghana,171167,0,1462,0.0,169696,0,9,2,5284,45,2529887,78094,32395450,Africa,2023-02-23
352,Namibia,171121,0,4090,0.0,166689,0,342,0,64969,1553,1062663,403460,2633874,Africa,2023-02-23
353,Uganda,170478,0,3630,0.0,100431,0,66417,3,3520,75,3012408,62198,48432863,Africa,2023-02-23
354,Jamaica,154065,0,3500,0.0,102393,0,48172,0,51611,1172,1183986,396633,2985094,North America,2023-02-23
355,Cambodia,138713,0,3056,0.0,135649,1,8,0,8079,178,3091420,180062,17168639,Asia,2023-02-23
356,Rwanda,133170,0,1468,0.0,131634,0,68,0,9792,108,5959042,438150,13600464,Africa,2023-02-23
357,Cameroon,124328,0,1965,0.0,122333,0,30,13,4454,70,1751774,62762,27911548,Africa,2023-02-23
358,Malta,117338,0,827,0.0,115923,0,588,4,264255,1862,2111209,4754622,444033,Europe,2023-02-23
359,Barbados,106645,0,575,0.0,106057,0,13,0,370266,1996,794426,2758203,288023,North America,2023-02-23
360,Angola,105205,0,1931,0.0,103250,0,24,0,3004,55,1499795,42818,35027343,Africa,2023-02-23
361,Channel Islands,101320,0,227,0.0,100975,0,118,0,574171,1286,1252808,7099551,176463,Europe,2023-02-23
362,French Guiana,98041,0,420,0.0,11254,0,86367,6,312065,1337,651257,2072951,314169,South America,2023-02-23
363,DRC,95646,0,1464,0.0,84282,0,9900,0,1004,15,846704,8890,95240792,Africa,2023-02-23
364,Senegal,88917,0,1971,0.0,86938,0,8,0,5037,112,1146543,64946,17653671,Africa,2023-02-23
365,Malawi,88681,0,2686,0.0,85542,0,453,67,4394,133,624784,30959,20180839,Africa,2023-02-23
366,Ivory Coast,88138,0,834,0.0,87262,0,42,0,3177,30,1677538,60469,27742298,Africa,2023-02-23
367,Suriname,82227,0,1400,0.0,0,0,0,0,137773,2346,240907,403644,596831,South America,2023-02-23
368,New Caledonia,79871,0,314,0.0,79557,0,0,9,274551,1079,98964,340182,290915,Australia/Oceania,2023-02-23
369,French Polynesia,77957,0,649,0.0,0,0,0,7,274338,2284,0,0,284164,Australia/Oceania,2023-02-23
370,Eswatini,74199,0,1423,0.0,72726,0,50,0,62625,1201,1048704,885119,1184817,Africa,2023-02-23
371,Guyana,73062,0,1298,0.0,71742,0,22,0,92012,1635,720953,907950,794045,South America,2023-02-23
372,Belize,70740,0,688,0.0,70036,0,16,6,171620,1669,576016,1397453,412190,North America,2023-02-23
373,Fiji,68876,0,883,0.0,66831,0,1162,0,75732,971,668445,734986,909466,Australia/Oceania,2023-02-23
374,Madagascar,67852,0,1421,0.0,66427,0,4,0,2325,49,525141,17998,29178077,Africa,2023-02-23
375,Sudan,63787,0,5011,0.0,58438,0,338,0,1387,109,562941,12240,45992020,Africa,2023-02-23
376,Mauritania,63667,0,997,0.0,62439,0,231,0,12988,203,1009957,206030,4901981,Africa,2023-02-23
377,Cabo Verde,63240,0,413,0.0,62770,2,57,23,111401,728,401622,707482,567678,Africa,2023-02-23
378,Bhutan,62615,0,21,0.0,61564,0,1030,0,79467,27,2303734,2923739,787941,Asia,2023-02-23
379,Syria,57463,0,3164,0.0,54299,0,0,0,2967,163,146269,7553,19364809,Asia,2023-02-23
380,Burundi,53609,0,38,0.0,53569,0,2,0,4246,3,345742,27386,12624840,Africa,2023-02-23
381,Seychelles,50665,0,172,0.0,50440,0,53,0,509575,1730,0,0,99426,Africa,2023-02-23
382,Gabon,48981,0,306,0.0,48674,0,1,0,21008,131,1621909,695641,2331533,Africa,2023-02-23
383,Andorra,47866,0,165,0.0,47563,0,138,14,617921,2130,249838,3225256,77463,Europe,2023-02-23
384,Papua New Guinea,46792,0,670,0.0,43982,0,2140,7,5036,72,249149,26813,9292169,Australia/Oceania,2023-02-23
385,Curaçao,45986,0,295,0.0,44720,0,971,3,277812,1782,496693,3000640,165529,North America,2023-02-23
386,Aruba,44026,0,236,0.0,42438,0,1352,2,409129,2193,177885,1653068,107609,North America,2023-02-23
387,Tanzania,42823,0,846,0.0,0,0,0,7,677,13,0,0,63298550,Africa,2023-02-23
388,Mayotte,42004,0,188,0.0,0,0,0,0,146734,657,176919,618038,286259,Africa,2023-02-23
389,Mauritius,41698,0,1043,0.0,39991,0,664,0,32711,818,358675,281374,1274727,Africa,2023-02-23
390,Togo,39367,0,290,0.0,39072,0,5,0,4535,33,807880,93065,8680837,Africa,2023-02-23
391,Guinea,38267,0,467,0.0,37757,0,43,8,2760,34,660107,47607,13865691,Africa,2023-02-23
392,Isle of Man,38008,0,116,0.0,0,0,0,0,443335,1353,150753,1758422,85732,Europe,2023-02-23
393,Bahamas,37491,0,833,0.0,36366,0,292,1,93607,2080,257839,643767,400516,North America,2023-02-23
394,Lesotho,34790,0,723,0.0,25980,0,8087,0,15990,332,431221,198199,2175699,Africa,2023-02-23
395,Faeroe Islands,34658,0,28,0.0,0,0,0,5,703959,569,778000,15802409,49233,Europe,2023-02-23
396,Haiti,34143,0,860,0.0,33044,0,239,0,2923,74,132422,11337,11680283,North America,2023-02-23
397,Mali,32977,14,743,0.0,32046,14,188,0,1536,35,794481,36998,21473764,Africa,2023-02-23
398,Cayman Islands,31472,0,37,0.0,8553,0,22882,1,467797,550,222773,3311280,67277,North America,2023-02-23
399,Saint Lucia,29882,0,409,0.0,29095,0,378,0,161426,2209,210983,1139752,185113,North America,2023-02-23
400,Benin,27990,0,163,0.0,27825,0,2,0,2189,13,604310,47268,12784726,Africa,2023-02-23
401,Somalia,27324,0,1361,0.0,13182,0,12781,0,1622,81,400466,23778,16841795,Africa,2023-02-23
402,Congo,25375,0,386,0.0,24006,0,983,0,4377,67,347815,59991,5797805,Africa,2023-02-23
403,Solomon Islands,24575,0,153,0.0,0,0,0,1,34077,212,0,0,721159,Australia/Oceania,2023-02-23
404,Micronesia,23671,0,60,0.0,0,0,0,1,201474,511,54967,467848,117489,Australia/Oceania,2023-02-23
405,San Marino,23536,0,122,0.0,23276,0,138,4,690509,3579,157634,4624732,34085,Europe,2023-02-23
406,Timor-Leste,23418,0,138,0.0,23102,0,178,0,17101,101,278529,203391,1369429,Asia,2023-02-23
407,Burkina Faso,22056,0,396,0.0,21596,0,64,0,998,18,248995,11265,22102838,Africa,2023-02-23
408,Liechtenstein,21395,2,89,0.0,21281,1,25,0,557350,2318,112457,2929559,38387,Europe,2023-02-23
409,Gibraltar,20420,0,111,0.0,16579,0,3730,0,605863,3293,534283,15852213,33704,Europe,2023-02-23
410,Grenada,19680,0,238,0.0,19358,0,84,4,173430,2097,182981,1612523,113475,North America,2023-02-23
411,Bermuda,18799,0,160,0.0,18632,0,7,0,303508,2583,1027337,16586270,61939,North America,2023-02-23
412,Nicaragua,18491,0,225,0.0,4225,0,14041,0,2728,33,0,0,6779100,North America,2023-02-23
413,South Sudan,18368,0,138,0.0,18115,0,115,1,1581,12,410280,35313,11618511,Africa,2023-02-23
414,Tajikistan,17786,0,125,0.0,17264,0,397,0,1786,13,0,0,9957464,Asia,2023-02-23
415,Equatorial Guinea,17229,0,183,0.0,16907,0,139,5,11512,122,365697,244342,1496662,Africa,2023-02-23
416,Tonga,16801,0,13,0.0,15638,0,1150,0,155927,121,535009,4965327,107749,Australia/Oceania,2023-02-23
417,Samoa,16607,0,29,0.0,1605,0,14973,0,82116,143,187397,926612,202239,Australia/Oceania,2023-02-23
418,Monaco,16106,0,67,0.0,15992,0,47,4,404846,1684,78646,1976875,39783,Europe,2023-02-23
419,Dominica,15760,0,74,0.0,15673,0,13,0,217848,1023,229344,3170187,72344,North America,2023-02-23
420,Djibouti,15690,0,189,0.0,15427,0,74,0,15441,186,305941,301094,1016097,Africa,2023-02-23
421,Marshall Islands,15598,0,17,0.0,15528,0,53,0,259720,283,0,0,60057,Australia/Oceania,2023-02-23
422,CAR,15368,0,113,0.0,15200,0,55,2,3063,23,81294,16205,5016678,Africa,2023-02-23
423,Gambia,12586,0,372,0.0,12189,0,25,0,4919,145,155686,60851,2558482,Africa,2023-02-23
424,Saint Martin,12257,0,63,0.0,1399,0,10795,7,308507,1586,112382,2828643,39730,North America,2023-02-23
425,Vanuatu,12014,0,14,0.0,11976,0,24,0,37330,44,24976,77606,321832,Australia/Oceania,2023-02-23
426,Greenland,11971,0,21,0.0,2761,0,9189,4,210117,369,164926,2894810,56973,North America,2023-02-23
427,Yemen,11945,0,2159,0.0,9124,0,662,23,383,69,329592,10579,31154867,Asia,2023-02-23
428,Caribbean Netherlands,11668,0,38,0.0,10476,0,1154,0,437873,1426,30126,1130559,26647,North America,2023-02-23
429,Sint Maarten,11016,0,91,0.0,10905,0,20,0,250557,2070,62056,1411454,43966,North America,2023-02-23
430,Eritrea,10189,0,103,0.0,10086,0,0,0,2782,28,23693,6470,3662244,Africa,2023-02-23
431,Niger,9931,0,312,0.0,8890,0,729,1,381,12,254538,9759,26083660,Africa,2023-02-23
432,St. Vincent Grenadines,9589,0,123,0.0,9466,3,0,0,85961,1103,113703,1019292,111551,North America,2023-02-23
433,Antigua and Barbuda,9106,0,146,0.0,8954,0,6,1,91509,1467,18901,189943,99509,North America,2023-02-23
434,Comoros,8998,0,161,0.0,8837,0,0,0,9916,177,0,0,907419,Africa,2023-02-23
435,Guinea-Bissau,8953,0,176,0.0,8660,0,117,6,4339,85,145231,70385,2063367,Africa,2023-02-23
436,Liberia,8065,0,294,0.0,7768,0,3,2,1520,55,139824,26356,5305117,Africa,2023-02-23
437,Sierra Leone,7760,0,126,0.0,0,0,0,0,934,15,259958,31296,8306436,Africa,2023-02-23
438,Chad,7675,0,194,0.0,4874,0,2607,0,441,11,191341,10988,17413580,Africa,2023-02-23
439,British Virgin Islands,7305,0,64,0.0,0,0,0,0,238757,2092,107339,3508269,30596,North America,2023-02-23
440,Cook Islands,7025,0,2,0.0,7012,0,11,0,399806,114,19690,1120596,17571,Australia/Oceania,2023-02-23
441,Saint Kitts and Nevis,6596,0,46,0.0,6546,0,4,0,122441,854,126927,2356129,53871,North America,2023-02-23
442,Turks and Caicos,6551,0,38,0.0,6491,0,22,4,164842,956,611527,15387811,39741,North America,2023-02-23
443,Sao Tome and Principe,6281,0,77,0.0,6203,0,1,0,27587,338,29036,127530,227679,Africa,2023-02-23
444,Palau,5988,0,9,0.0,5976,0,3,0,328416,494,69136,3791806,18233,Australia/Oceania,2023-02-23
445,St. Barth,5439,0,6,0.0,0,0,0,0,546908,603,78646,7908095,9945,North America,2023-02-23
446,Nauru,5247,0,1,0.0,5075,0,171,0,481244,92,20509,1881042,10903,Australia/Oceania,2023-02-23
447,Kiribati,5013,0,18,0.0,2703,0,2292,3,40618,146,0,0,123419,Australia/Oceania,2023-02-23
448,Anguilla,3904,0,12,0.0,3879,0,13,4,256336,788,51382,3373736,15230,North America,2023-02-23
449,Macao,3513,0,121,0.0,3378,0,14,0,5263,181,7850,11760,667490,Asia,2023-02-23
450,Saint Pierre Miquelon,3452,0,2,0.0,2449,0,1001,1,599410,347,25400,4410488,5759,North America,2023-02-23
451,Wallis and Futuna,3427,0,7,0.0,438,0,2982,0,312056,637,20508,1867419,10982,Australia/Oceania,2023-02-23
452,Tuvalu,2805,0,0,0.0,0,0,2805,0,232471,0,0,0,12066,Australia/Oceania,2023-02-23
453,Saint Helena,2166,0,0,0.0,2,0,2164,0,354211,0,0,0,6115,Africa,2023-02-23
454,Falkland Islands,1930,0,0,0.0,1930,0,0,0,545352,0,8632,2439107,3539,South America,2023-02-23
455,Montserrat,1403,0,8,0.0,1376,0,19,0,282578,1611,17762,3577442,4965,North America,2023-02-23
456,Niue,783,0,0,0.0,752,0,31,0,482737,0,0,0,1622,Australia/Oceania,2023-02-23
457,Diamond Princess,712,0,13,0.0,699,0,0,0,0,0,0,0,0,Do not know,2023-02-23
458,Vatican City,29,0,0,0.0,29,0,0,0,36295,0,0,0,799,Europe,2023-02-23
459,Western Sahara,10,0,1,0.0,9,0,0,0,16,2,0,0,626161,Africa,2023-02-23
460,MS Zaandam,9,0,2,0.0,7,0,0,0,0,0,0,0,0,Do not know,2023-02-23
461,Tokelau,5,0,0,0.0,0,0,5,0,3628,0,0,0,1378,Australia/Oceania,2023-02-23
462,USA,105161023,0,1144368,0.0,102534080,0,1482575,2425,314096,3418,1163861047,3476233,334805269,North America,2023-02-24
463,India,44685619,0,530764,0.0,44152839,0,2016,0,31768,377,918216867,652777,1406631776,Asia,2023-02-24
464,France,39605037,0,164848,0.0,39371608,0,68581,869,603878,2514,271490188,4139547,65584518,Europe,2023-02-24
465,Germany,38090089,0,167723,0.0,37654800,0,267566,0,454083,1999,122332384,1458359,83883596,Europe,2023-02-24
466,Brazil,37008944,0,698834,0.0,36179646,0,130464,0,171852,3245,63776166,296146,215353593,South America,2023-02-24
467,Japan,33157721,6512,72134,83.0,21675630,2474,11409957,183,264026,574,94827129,755084,125584838,Asia,2023-02-24
468,S. Korea,30479753,10051,33929,20.0,30229352,5828,216472,183,593801,661,15804065,307892,51329899,Asia,2023-02-24
469,Italy,25547414,0,187850,0.0,25174036,0,185528,154,423934,3117,267156892,4433200,60262770,Europe,2023-02-24
470,UK,24341615,0,206246,0.0,24076386,2442,58983,0,355363,3011,522526476,7628357,68497907,Europe,2023-02-24
