,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent,day
37,Philippines,4075662,0,66051,12.0,4000480,119,9131,162,36225,587,34543739,307031,112508994,Asia,2023-02-22
38,South Africa,4061085,0,102595,0.0,3912506,0,45984,192,66842,1689,26473049,435726,60756135,Africa,2023-02-22
39,Romania,3335131,0,67675,0.0,3260130,2799,7326,115,175244,3556,26603809,1397895,19031335,Europe,2023-02-22
40,Denmark,3174821,63,8239,2.0,3165608,89,974,19,544104,1412,129187461,22140286,5834950,Europe,2023-02-22
41,Hong Kong,2882682,129,13445,0.0,2826768,3841,42469,28,379086,1768,76127725,10011143,7604299,Asia,2023-02-22
42,Sweden,2697827,130,23633,0.0,2669287,92,4907,6,264002,2313,19458009,1904106,10218971,Europe,2023-02-22
43,Serbia,2487935,1015,17788,5.0,2456412,592,13735,21,287522,2056,12349305,1427168,8653016,Europe,2023-02-22
44,Iraq,2465545,0,25375,0.0,2439497,0,673,21,58474,602,19544451,463523,42164965,Asia,2023-02-22
45,Singapore,2222006,0,1722,0.0,2149583,0,70701,1,373852,290,24756666,4165302,5943546,Asia,2023-02-22
46,New Zealand,2207775,0,3864,0.0,2197123,0,6788,0,450732,789,7768604,1586011,4898203,Australia/Oceania,2023-02-22
47,Hungary,2194969,867,48745,7.0,2142682,962,3542,6,228494,5074,11394556,1186160,9606259,Europe,2023-02-22
48,Bangladesh,2037773,35,29445,0.0,1998448,0,9880,0,12138,175,15254399,90862,167885689,Asia,2023-02-22
49,Slovakia,1862395,138,21008,5.0,1840306,96,1081,16,341086,3847,7400363,1355330,5460193,Europe,2023-02-22
50,Georgia,1825598,582,16965,1.0,1776548,0,32085,0,459995,4275,16920079,4263340,3968738,Asia,2023-02-22
51,Jordan,1746997,0,14122,0.0,1731007,0,1868,59,169597,1371,17201885,1669945,10300869,Asia,2023-02-22
