,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
58,Lithuania,1303040,431,9580,1.0,1287691,370,5769,7,489550,3599,10372063,3896770,2661708,Europe
59,Bulgaria,1296450,70,38208,1.0,1255446,68,2796,25,189412,5582,11041500,1613170,6844597,Europe
60,Morocco,1272411,11,16296,0.0,1256045,10,70,3,33686,431,12972026,343423,37772756,Africa
61,Croatia,1268666,0,17950,0.0,1250175,0,541,10,312534,4422,5503682,1355825,4059286,Europe
62,Guatemala,1234843,368,20160,1.0,1213424,362,1259,5,66446,1085,6891394,370823,18584039,North America
63,Lebanon,1231303,263,10821,2.0,1087587,0,132895,74,184193,1619,4795578,717380,6684849,Asia
64,Costa Rica,1199055,0,9214,0.0,860711,0,329130,52,231373,1778,4659757,899158,5182354,North America
65,Bolivia,1192283,37,22362,0.0,1155678,260,14243,220,99418,1865,2705422,225590,11992656,South America
66,Tunisia,1150793,0,29330,0.0,0,0,0,44,95528,2435,5001397,415169,12046656,Africa
67,Cuba,1112561,8,8530,0.0,1103956,5,75,0,98408,754,14314110,1266102,11305652,North America
68,Ecuador,1056578,0,36008,0.0,1015999,0,4571,759,58331,1988,3082403,170173,18113361,South America
69,UAE,1051336,95,2348,0.0,1034628,122,14360,0,104281,233,199104417,19748925,10081785,Asia
70,Uruguay,1034046,0,7617,0.0,1025995,0,434,18,295778,2179,6114822,1749083,3496016,South America
71,Panama,1030658,0,8600,0.0,1021441,0,617,16,231767,1934,7491978,1684740,4446964,North America
72,Mongolia,1007896,1,2179,0.0,1005705,8,12,192,298364,645,4030048,1193000,3378078,Asia
73,Nepal,1001137,2,12020,0.0,989105,2,12,0,33122,398,6010742,198863,30225582,Asia
74,Belarus,994037,0,7118,0.0,985592,0,1327,0,105381,755,13646641,1446722,9432800,Europe
75,Latvia,975884,37,6235,1.0,969279,24,370,13,527837,3372,7863503,4253216,1848837,Europe
76,Saudi Arabia,829095,54,9607,1.0,816432,52,3056,38,23130,268,45124522,1258882,35844909,Asia
77,Azerbaijan,828426,31,10108,3.0,818167,22,151,0,80428,981,7517428,729833,10300205,Asia
78,Paraguay,807453,0,19849,0.0,0,0,0,7,110522,2717,2657506,363751,7305843,South America
79,Bahrain,705444,309,1548,0.0,701697,316,2199,1,395432,868,10725689,6012215,1783983,Asia
80,Sri Lanka,672024,1,16829,0.0,655192,1,3,0,31147,780,6486117,300619,21575842,Asia
81,Kuwait,662858,0,2570,0.0,660237,0,51,0,151326,587,8455743,1930391,4380326,Asia
