,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population,Continent
44,Iraq,"2,465,545",,"25,375",,"2,439,497",,673,21,"58,474",602,"19,544,451","463,523","42,164,965",Asia
45,Singapore,"2,222,006",,"1,722",,"2,149,583",,"70,701",1,"373,852",290,"24,756,666","4,165,302","5,943,546",Asia
46,New Zealand,"2,207,775",,"3,864",,"2,197,123",,"6,788",,"450,732",789,"7,768,604","1,586,011","4,898,203",Australia/Oceania
47,Hungary,"2,194,969",,"48,745",,"2,142,682",,"3,542",6,"228,494","5,074","11,394,556","1,186,160","9,606,259",Europe
48,Bangladesh,"2,037,773",,"29,445",,"1,998,448",,"9,880",N/A,"12,138",175,"15,254,399","90,862","167,885,689",Asia
49,Slovakia,"1,862,495",+100,"21,011",+3,"1,840,373",+67,"1,111",16,"341,104","3,848","7,400,823","1,355,414","5,460,193",Europe
50,Georgia,"1,825,598",,"16,965",,"1,776,548",,"32,085",,"459,995","4,275","16,920,079","4,263,340","3,968,738",Asia
51,Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869",Asia
52,Ireland,"1,702,523",,"8,629",,"1,691,624",+281,"2,270",11,"339,135","1,719","13,022,483","2,594,017","5,020,199",Europe
53,Pakistan,"1,576,796",+36,"30,641",,"1,538,689",,"7,466",13,"6,871",134,"30,570,862","133,213","229,488,994",Asia
54,Norway,"1,478,817",+50,"5,112",,"1,473,036",+53,669,20,"268,321",928,"11,002,430","1,996,315","5,511,370",Europe
55,Finland,"1,462,169",,"8,892",,"1,451,354",+85,"1,923",21,"263,219","1,601","12,047,792","2,168,835","5,554,960",Europe
56,Kazakhstan,"1,407,351",,"13,846",,"1,383,020",,"10,485",24,"73,280",721,"11,575,012","602,707","19,205,043",Asia
57,Slovenia,"1,326,746",+353,"7,068",+1,"1,316,201",+243,"3,477",6,"638,462","3,401","2,834,988","1,364,264","2,078,034",Europe
58,Lithuania,"1,303,386",+346,"9,582",+2,"1,288,000",+309,"5,804",8,"489,680","3,600","10,373,322","3,897,243","2,661,708",Europe
59,Bulgaria,"1,296,533",+83,"38,210",+2,"1,255,458",+12,"2,865",26,"189,424","5,583","11,044,361","1,613,588","6,844,597",Europe
60,Morocco,"1,272,418",+7,"16,296",,"1,256,051",+6,71,3,"33,686",431,"12,975,749","343,521","37,772,756",Africa
61,Croatia,"1,268,666",,"17,950",,"1,250,175",,541,10,"312,534","4,422","5,503,682","1,355,825","4,059,286",Europe
62,Guatemala,"1,235,082",+239,"20,163",+3,"1,213,683",+259,"1,236",5,"66,459","1,085","6,900,044","371,289","18,584,039",North America
63,Lebanon,"1,231,303",,"10,821",,"1,087,587",,"132,895",74,"184,193","1,619","4,795,578","717,380","6,684,849",Asia
64,Costa Rica,"1,199,055",,"9,214",,"860,711",,"329,130",52,"231,373","1,778","4,659,757","899,158","5,182,354",North America
65,Bolivia,"1,192,358",+75,"22,363",+1,"1,155,891",+213,"14,104",220,"99,424","1,865","2,705,422","225,590","11,992,656",South America
66,Tunisia,"1,150,793",,"29,330",,N/A,N/A,N/A,44,"95,528","2,435","5,001,397","415,169","12,046,656",Africa
67,Cuba,"1,112,567",+6,"8,530",,"1,103,957",+1,80,,"98,408",754,"14,314,851","1,266,168","11,305,652",North America
68,Ecuador,"1,056,578",,"36,008",,"1,015,999",,"4,571",759,"58,331","1,988","3,082,403","170,173","18,113,361",South America
69,UAE,"1,051,457",+121,"2,348",,"1,034,731",+103,"14,378",,"104,293",233,"199,126,406","19,751,106","10,081,785",Asia
70,Uruguay,"1,034,046",,"7,617",,"1,025,995",,434,18,"295,778","2,179","6,114,822","1,749,083","3,496,016",South America
71,Panama,"1,031,014",+356,"8,603",+3,"1,021,886",+445,525,16,"231,847","1,935","7,522,110","1,691,516","4,446,964",North America
72,Mongolia,"1,007,896",,"2,179",,"1,005,705",,12,192,"298,364",645,"4,030,048","1,193,000","3,378,078",Asia
73,Nepal,"1,001,138",+1,"12,020",,"989,107",+2,11,,"33,122",398,"6,010,863","198,867","30,225,582",Asia
74,Belarus,"994,037",,"7,118",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800",Europe
75,Latvia,"975,903",+19,"6,235",,"969,311",+32,357,13,"527,847","3,372","7,863,709","4,253,327","1,848,837",Europe
76,Saudi Arabia,"829,137",+42,"9,608",+1,"816,487",+55,"3,042",41,"23,131",268,"45,127,377","1,258,962","35,844,909",Asia
77,Azerbaijan,"828,449",+23,"10,111",+3,"818,183",+16,155,,"80,430",982,"7,518,721","729,958","10,300,205",Asia
78,Paraguay,"807,453",,"19,849",,N/A,N/A,N/A,7,"110,522","2,717","2,657,506","363,751","7,305,843",South America
79,Bahrain,"705,830",+386,"1,548",,"701,947",+250,"2,335",1,"395,648",868,"10,730,009","6,014,636","1,783,983",Asia
80,Sri Lanka,"672,025",+1,"16,830",+1,"655,193",+1,2,,"31,147",780,"6,486,117","300,619","21,575,842",Asia
81,Kuwait,"662,858",,"2,570",,"660,237",,51,,"151,326",587,"8,455,743","1,930,391","4,380,326",Asia
82,Dominican Republic,"660,533",,"4,384",,"644,785",,"11,364",4,"59,742",397,"3,740,928","338,350","11,056,370",North America
